sim_id,trajectory_id,trajectory_type,disturbed_inputs,simulation_time (s),time_sample (s),N,M,mpc_success,num_iterations,mpc_RMSe,mpc_execution_time (s),operation_mode,failed_rotors,ang_speed_percentages (%),mpc_min_phi (rad),mpc_max_phi (rad),mpc_mean_phi (rad),mpc_std_phi (rad),mpc_min_theta (rad),mpc_max_theta (rad),mpc_mean_theta (rad),mpc_std_theta (rad),mpc_min_psi (rad),mpc_max_psi (rad),mpc_mean_psi (rad),mpc_std_psi (rad),mpc_max_omega0,mpc_max_omega1,mpc_max_omega2,mpc_max_omega3,mpc_max_omega4,mpc_max_omega5,mpc_max_omega6,mpc_max_omega7,nn_success,nn_execution_time (s),nn_RMSe,nn_min_phi (rad),nn_max_phi (rad),nn_mean_phi (rad),nn_std_phi (rad),nn_min_theta (rad),nn_max_theta (rad),nn_mean_theta (rad),nn_std_theta (rad),nn_min_psi (rad),nn_max_psi (rad),nn_mean_psi (rad),nn_std_psi (rad),nn_min_omega_squared,nn_max_omega0,nn_max_omega1,nn_max_omega2,nn_max_omega3,nn_max_omega4,nn_max_omega5,nn_max_omega6,nn_max_omega7,radius (m),period (s),inter_position_RMSe,RMSe_u0,RMSe_u1,RMSe_u2,RMSe_u3,RMSe_u4,RMSe_u5,RMSe_u6,RMSe_u7,num_iterations_2,mpc_execution_time_2,mpc_RMSe_2,mpc_min_phi_2,mpc_max_phi_2,mpc_mean_phi_2,mpc_std_phi_2,mpc_min_theta_2,mpc_max_theta_2,mpc_mean_theta_2,mpc_std_theta_2,mpc_min_psi_2,mpc_max_psi_2,mpc_mean_psi_2,mpc_std_psi_2,mpc_max_omega0_2,mpc_max_omega1_2,mpc_max_omega2_2,mpc_max_omega3_2,mpc_max_omega4_2,mpc_max_omega5_2,mpc_max_omega6_2,mpc_max_omega7_2
1,1,circle_xy,False,26,0.02,60,10,True,1299.0,0.6348332107056087,31.76908350008307,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-1.4647281398919831,0.7175614625358491,0.004649827908017,0.1814028377119202,-0.3488517390437607,0.3243358154137014,-0.0050295174776434,0.1237644325518135,-0.8528472847506583,0.1910400741404876,-0.034400463200096,0.1518102931569591,202.33479567801984,342.7707879896441,339.8740742667806,269.9947086611242,285.9675931452789,305.52619338324934,308.1805229102503,342.7707879896441,True,4.055636500197579,0.394026834500374,-0.3990982620248807,0.1730465015966839,-0.0022246841298917,0.1174666088997638,-0.6550141435095506,0.1951913680246461,-0.0154206520840535,0.1339721995059764,-0.3304379067697761,0.0044393298991113,-0.0510528030351621,0.052870050083029,0.0,202.33479567801984,302.5553662391243,321.48178082387614,207.6950825339662,263.36822617159805,210.05381745940977,321.61724343556983,304.87297460981034,5.0,13.0,0.5232152891228636,0.0,15.414629193080811,17.779444604281352,23.005600781545443,16.452124182246205,30.1481443353314,11.101739731250284,19.089789391520775,,,,,,,,,,,,,,,,,,,,,,,
2,1,circle_xy,False,26,0.02,60,10,True,1299.0,0.3672944355610011,28.367144400283,total_failure,1,100.0-0.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.6000282545116865,0.237947551647593,-0.0040306490925402,0.1347887640436852,-0.6505660119103336,0.3712609083850098,-0.0128086354774863,0.1465992890810723,-0.1543091697943804,0.5649847436198567,0.0157093713038295,0.1115529457290674,291.6531651543406,202.33479567801984,291.19129881854616,304.4707694525071,251.18552711248716,253.85363946989372,251.1859279228267,309.6549454133623,True,3.4459981999971205,0.4836531841865941,-0.6812784161547533,0.3785079565233512,-0.0018345346880766,0.1279168027974725,-0.6272543537424708,0.3049634010959398,-0.017627299060909,0.1448644366839423,-0.065176369232526,0.1538896366953938,0.0122979777374208,0.0361173668322633,0.0,314.0182893958081,202.33479567801984,312.180166672676,328.7191266653716,218.2979184205752,269.8755158994775,216.3716716980094,329.96139965470616,5.0,13.0,0.3274973548302699,14.976000863888418,0.0,15.665545738487426,15.411119638652236,11.089533220788825,12.659684700467762,12.383211353472271,15.157153560642112,,,,,,,,,,,,,,,,,,,,,,,
3,1,circle_xy,False,26,0.02,60,10,True,1299.0,0.3657723952577157,33.6327804998582,total_failure,2,100.0-100.0-0.0-100.0-100.0-100.0-100.0-100.0,-0.5453292439754146,0.1954562166673555,-0.0017756566247034,0.1265170520054338,-0.7278606187871746,0.2755298522114342,-0.0160716858262919,0.1276870656021431,-0.4850511630206202,0.0827887495637079,-0.0264943138352365,0.0924728403903273,304.8137676462004,332.34782405006166,202.33479567801984,342.7707879896441,301.57046924875107,269.9947086611242,269.9947086611242,269.9947086611242,True,3.9184457999945153,0.4950738445411342,-0.6467991299921646,0.2437312101022368,-0.0071022006162347,0.1336423519775908,-0.6105954816473902,0.630629784446966,-0.0196302129019489,0.1554735055879772,-0.543121385921864,0.2116598983013483,-0.0183533511401349,0.1039090048327843,0.0,326.5619915686333,306.09726063910847,202.33479567801984,304.0441534648034,326.7183307921468,211.25355944881727,265.11238908331984,210.17601048870029,5.0,13.0,0.3482776859181758,17.810850861672233,18.40895509165016,0.0,20.632088087179906,19.484094601168685,17.44970097324561,19.87279242873545,15.69320831189708,,,,,,,,,,,,,,,,,,,,,,,
4,1,circle_xy,False,26,0.02,60,10,True,1299.0,0.3182135822611565,28.74419029975252,total_failure,3,100.0-100.0-100.0-0.0-100.0-100.0-100.0-100.0,-0.5016847408056068,0.3180586912213429,-0.0002489985723245,0.1169383930053698,-0.7011624597232575,0.2024325138207461,-0.0150630594234072,0.1328721994483522,-0.101965772523919,0.0663220191302913,-0.0060521443912334,0.0160815019592267,245.6922518947384,311.98658682003486,301.206987494495,202.33479567801984,300.11291635853155,317.284183063196,245.6922518947384,258.7227317412349,True,5.2282779000815935,0.3428012664731008,-0.3162140317116942,0.142570465929525,-0.0022087902516585,0.1095905468942014,-0.7291981571752217,0.239401028911964,-0.0133634301422127,0.1394437559096507,-0.1085807584089112,0.2511639723336453,-0.0100234467528437,0.0471120509941417,0.0,213.1962995253058,301.95680652509134,289.6627286322111,202.33479567801984,288.4873781704072,303.9331911005663,216.80204752623715,249.9545904046828,5.0,13.0,0.1586101671054408,6.81499272415748,5.217891976646774,5.2994950765682045,0.0,6.050381139980458,6.138584808514995,5.8049684954568965,5.60749535771778,,,,,,,,,,,,,,,,,,,,,,,
5,1,circle_xy,False,26,0.02,60,10,True,1299.0,0.663905952815929,30.034967900413903,total_failure,4,100.0-100.0-100.0-100.0-0.0-100.0-100.0-100.0,-0.6682028855842422,0.7054732279000785,0.0061169220321582,0.1762152305052718,-0.7040791750480656,0.5677011129022952,-0.0221701732199167,0.1695461093958938,-0.8052775921085793,0.3452019762306997,-0.0288300025551374,0.1748458292168296,269.60699598173164,269.9947086611242,322.4499797337482,316.7061937477099,202.33479567801984,313.7329755354472,328.7009425860703,269.9947086611242,True,4.223264399770415,0.3557045570443725,-0.2168190956510522,0.1376906453944159,0.0004807108440361,0.1008833844684881,-0.6621509420352338,0.2297805164403575,-0.0138290544589735,0.1350853224025962,-0.1490218837321911,0.0681660937215795,-0.0230190403701584,0.0277640423076153,0.0,264.0159753316337,205.56949236259757,319.52401976823376,303.0798747259722,202.33479567801984,302.2038496759594,321.501235090819,211.11549318524135,5.0,13.0,0.4980026618917537,11.687309411839108,12.732019556310815,13.064625592100438,16.056398098054213,0.0,15.293754044063158,13.861094700281829,12.728821515449114,,,,,,,,,,,,,,,,,,,,,,,
6,1,circle_xy,False,26,0.02,60,10,False,,,,total_failure,5,100.0-100.0-100.0-100.0-100.0-0.0-100.0-100.0,,,,,,,,,,,,,,,,,,,,,True,4.583775300139678,0.2917362292931911,-0.2028936739298856,0.151937301058915,0.0002152695439443,0.1006342543051946,-0.657719563941523,0.2386487337641125,-0.0147099898728297,0.1342933359404589,-0.0418563137067712,0.1265425657937977,-0.0067312503253577,0.0213887467111832,0.0,207.0298953634684,251.859257952609,202.33479567801984,306.9261598213372,297.25250789072845,202.33479567801984,292.16582949195174,310.5300839513611,5.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,circle_xy,False,26,0.02,60,10,False,,,,total_failure,6,100.0-100.0-100.0-100.0-100.0-100.0-0.0-100.0,,,,,,,,,,,,,,,,,,,,,True,3.2070196000568103,0.3495063605000024,-0.2272538320239142,0.1541454322663608,0.0006440793549512,0.1048199435478731,-0.6358727430581089,0.2158657201011147,-0.0137797358861253,0.1351235583538149,-0.1808342257449132,0.0717168144359819,-0.0145740642757495,0.0375418405007737,0.0,315.7130651365565,203.6610845124808,258.6117431128076,203.6007957866644,315.86059956414243,299.4806625557424,202.33479567801984,299.8478518488168,5.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,circle_xy,False,26,0.02,60,10,True,1299.0,0.886418124873759,103.41068730005644,total_failure,7,100.0-100.0-100.0-100.0-100.0-100.0-100.0-0.0,-1.0953360697749457,0.7233412927443891,0.0092518525220829,0.1796109296716379,-0.7091109685313752,0.9459733173879828,-0.0144752369294271,0.2185557610967894,-1.042833882007982,0.5557911670477088,-0.0201485789889283,0.1686594933758468,342.7707879896441,342.7707879896441,281.730806038943,293.68301263530816,281.730806038943,342.46885347061874,342.7707879896441,202.33479567801984,True,3.6777940999891134,0.326888675738269,-0.3503069528468399,0.1534017286075685,-0.0021281810324116,0.1073829394123464,-0.6344878971648602,0.2491379464736064,-0.0151801866936483,0.1359422730246052,-0.1958016450572018,0.0143904292376918,-0.0278112609590842,0.0353590263589013,0.0,300.77692933263984,306.5701154319356,202.33479567801984,262.3393267131956,205.06390488409747,308.3594246617151,298.77938626765103,202.33479567801984,5.0,13.0,0.7475821232594929,23.789072939302017,18.46995127465516,31.55082044727031,16.146444368609593,25.542503200242702,17.314055773910148,20.72275977406355,0.0,,,,,,,,,,,,,,,,,,,,,,,
1,1,lissajous_xy,False,30,0.02,60,10,True,1499.0,0.21317208765089707,39.285184900218155,total_failure,0,0.0-100.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.3621067022380767,0.2041552259629988,-0.0036905423592133828,0.06674404242014388,-0.22250672064908317,0.14737316653621482,0.0010520996873124252,0.09974828312316203,-0.1128123082293838,0.018888863392907903,-0.004480210840778108,0.019528053080350802,202.33479567801982,276.56305132684804,294.00959184561094,231.2397664891655,240.45071552186857,231.2397664891655,294.46054818468656,276.85397951375137,True,3.3365794000274036,0.3161761639430075,-0.31534720257375576,0.22374014809082288,-0.003707068383192741,0.07201005236999929,-0.2904704666971528,0.15989887535360633,0.0014612208814525972,0.10149299586446177,-0.0913145043934587,0.04412824055688348,-0.020080339892099345,0.024956513012306013,0.0,202.33479567801982,287.75132502636626,311.24199335903853,202.33479567801982,248.3976923688573,202.33479567801982,309.26546973001496,290.4749854767362,3.0,10.0,0.15104238781636867,0.0,6.3054557701201155,6.959115975301375,4.020558305319115,5.796859364517542,4.026719170829129,6.402912010789774,6.4885311087399575,,,,,,,,,,,,,,,,,,,,,,,
2,1,lissajous_xy,False,30,0.02,60,10,True,1499.0,0.16914953919701478,35.61534650034446,total_failure,1,100.0-0.0-100.0-100.0-100.0-100.0-100.0-100.0,-0.5258569741473837,0.20237940434629917,-0.004822871034497669,0.07313403923391712,-0.3710384045044507,0.14771736074668151,0.0005925502734955851,0.1018491418851477,-0.02014061754006847,0.2040208128936438,0.008534978873075073,0.03640326316217144,271.39065771334697,202.33479567801982,272.3644478490944,287.82602644783776,245.69225189473838,245.69225189473838,245.69225189473838,285.27350552941755,True,4.835775699844817,0.3486824212679594,-0.43962991320015415,0.4603359743410819,-0.00680461360572788,0.0955157453927563,-0.2402127910416019,0.18395326063047876,0.0008290439650027809,0.11082327383097333,-0.04672756438084962,0.18120020887308266,0.025165285693309204,0.04251600840244963,0.0,288.90152700042063,202.33479567801982,289.26175023429033,307.7249553874326,203.21980452567576,248.9998442575153,202.33479567801982,308.9027598130098,3.0,10.0,0.2574200528116918,10.633195414960202,0.0,10.898702348735986,10.162707746485752,9.773586358080674,7.660112012376957,10.010941749558691,10.174355631532432,,,,,,,,,,,,,,,,,,,,,,,
